prompt,completion
"Food: Rice, Condition: Common cold, Recommendation: Neutral","When you have a common cold, eating plain rice is a neutral choice. It's very easy for your system to digest and provides the necessary carbohydrates for energy, which helps your body focus on recovery."
"Food: Bread, Condition: Common cold, Recommendation: Neutral","Plain bread or toast is a simple source of carbohydrates that can give you energy when you're feeling down with a cold. Just avoid heavy toppings."
"Food: Eggs, Condition: Common cold, Recommendation: Good","Eggs are a great food to eat when you have a cold. They are packed with protein, which is essential for your immune system to function properly and help your body repair itself."
"Food: Milk, Condition: Common cold, Recommendation: Neutral","Drinking milk during a cold is generally fine as it provides hydration and nutrients. While some people feel it increases mucus, scientific evidence for this is weak."
"Food: Chapati, Condition: Common cold, Recommendation: Neutral","A soft, plain chapati is an easy-to-digest carbohydrate that provides good energy while your body is fighting off a cold."
"Food: Apple, Condition: Common cold, Recommendation: Good","Apples are a beneficial choice during a cold. They provide essential hydration and vitamin C, which can support your immune system's efforts to get you back to health."
"Food: Banana, Condition: Common cold, Recommendation: Good","Bananas are great when you're sick because they are soft, easy to eat, and provide a good source of energy and potassium to help you recover."
"Food: Butter, Condition: Common cold, Recommendation: Avoid","It's best to avoid butter when you have a cold. It's high in fat and can be difficult for your body to digest when your energy is focused on fighting the illness."
"Food: Chicken, Condition: Common cold, Recommendation: Good","Chicken is an excellent food for a cold, especially as a warm soup. It provides high-quality protein and the warm broth can be very soothing and hydrating."
"Food: Fish, Condition: Common cold, Recommendation: Good","Fish is a healthy choice when you're sick. It's a source of lean protein and omega-3 fatty acids, which have anti-inflammatory properties that can aid recovery."
"Food: Chocolate, Condition: Common cold, Recommendation: Avoid","You should probably skip the chocolate when you have a cold. It's high in sugar, which can temporarily suppress your immune system's activity."
"Food: Rice, Condition: Asthma, Recommendation: Neutral","Rice is generally considered a neutral food for asthma as it's not a common trigger. It's best consumed as part of a balanced, whole-food diet."
"Food: Bread, Condition: Asthma, Recommendation: Use Caution","Be cautious with bread if you have asthma. For individuals with a wheat allergy or yeast sensitivity, it could potentially act as a trigger for symptoms."
"Food: Eggs, Condition: Asthma, Recommendation: Good","Eggs are a good source of protein and are not a common asthma trigger, unless a specific egg allergy exists. They can be a healthy part of an anti-inflammatory diet."
"Food: Milk, Condition: Asthma, Recommendation: Use Caution","For some people with asthma, dairy products like milk can be a trigger that may increase mucus production. It's best to monitor your own reaction to it."
